"name"	"Publisher"	"Developer"	"ReleaseDate-US"	"Date Number"	"Month"	"Day "	"Year"	"minHoldDuration"	"maxHoldDuration"	"down_reset"	"down_mult"	"down_gravity"	"up-control_reset"	"up-control_gravity"	"up-fixed_reset"	"up-fixed_mult"	"up-fixed_gravity"	"ground_reset"	"ground_mult"	"ground_gravity"
"SMB 2 - Mario"	"Nintendo"	"Nintendo"	"10/09/88"	"10/09/88"	"10"	"9"	"1988"	"1"	"30"	"2.1475943505"	"0.2508373255"	"0.1251794269"	"-4.9"	"0.2428571429"	"0.8198759645"	"1.0401653807"	"0.3601102538"	"0"	"0"	"0"
"SMB 2 - Peach"	"Nintendo"	"Nintendo"	"10/09/88"	"10/09/88"	"10"	"9"	"1988"	"1"	"88"	"1.5002605818"	"0.3996649662"	"0.2"	"-1.6513513514"	"0.0324324324"	"0.0999507322"	"0.9001612401"	"0.4000716623"	"0"	"0"	"0"
"SMB 2 - Toad"	"Nintendo"	"Nintendo"	"10/09/88"	"10/09/88"	"10"	"9"	"1988"	"1"	"36"	"1.2998350899"	"0.5336081836"	"0.2"	"-4.5727272727"	"0.2363636364"	"0.9857711077"	"0.9714285714"	"0.3856006418"	"0"	"0"	"0"
"SMB 3"	"Nintendo"	"Nintendo"	"02/12/90"	"02/12/90"	"2"	"12"	"1990"	"1"	"24"	"1.0660978115"	"0.1648788362"	"0.1668291967"	"-3.3352941177"	"0.0588235294"	"0.296587691"	"1.1980501092"	"0.3996750182"	"0"	"0"	"0"
"SMB DuckHunt"	"Nintendo"	"Nintendo"	"10/31/85"	"10/31/85"	"10"	"31"	"1985"	"1"	"32"	"1.5375"	"0"	"0.1875"	"-4.1"	"0.1333333333"	"-0.099832279"	"0.8499673876"	"0.3998695503"	"0"	"0"	"0"
"SMB"	"Nintendo"	"Nintendo"	"10/31/85"	"10/31/85"	"10"	"31"	"1985"	"1"	"32"	"1.5375"	"0"	"0.1875"	"-4.1"	"0.1333333333"	"-0.099832279"	"0.8499673876"	"0.3998695503"	"0"	"0"	"0"
"Adventure Island IV"	"Hudson Soft"	"Hudson Soft"	"06/24/94"	"06/24/94"	"6"	"24"	"1994"	"1"	"20"	"0.3"	"0"	"0.2"	"-4.2666666667"	"0.1666666667"	"0.1"	"0.05"	"0"	"0"	"0"	"0"
"TMNT 2"	"Ultra Games"	"Konami"	"12/01/90"	"12/01/90"	"12"	"1"	"1990"	"1"	"1"	"-0.14"	"0"	"0.24"	"None"	"None"	"-6.9"	"0"	"0.25"	"0"	"0"	"0"
"TMNT"	"Konami"	"Konami"	"06/01/89"	"06/01/89"	"6"	"1"	"1989"	"1"	"18"	"-0.3769230769"	"0"	"0.0923076923"	"-5.9"	"0.527"	"-2.0088"	"-0.1544"	"0.054545454"	"0"	"0"	"0"
"Zelda 2"	"Nintendo"	"Nintendo"	"12/01/88"	"12/01/88"	"12"	"1"	"1988"	"1"	"16"	"-0.1857142857"	"-0.0000000000000382"	"0.2571428571"	"-3.4636363636"	"0.1818181818"	"-0.3313577683"	"0.4231275527"	"0.2070704965"	"0"	"0"	"0"
