name	Publisher	Developer	ReleaseDate-US	minHoldDuration	maxHoldDuration	up-control_fixed_reset	up-control_prev_mult	up-control_gravity	up-fixed_fixed_reset	up-fixed_prev_mult	up-fixed_gravity	ground_fixed_reset	ground_prev_mult	ground_gravity	down_fixed_reset	down_prev_mult	down_gravity	down_reset	up-control_reset	up-fixed_reset	ground_reset
MarioisMissing!U.HA_0	Nintendo	Radical Entertainment	7/1/93	1	1	None	None	None	-335.0988142	0	510.2202146	0	0	0	26.77717048	0.446286175	549.3144626	None	None	None	None
MariosTimeMachine!U.HA_0	Nintendo	Radical Entertainment	6/23/94	1	1	None	None	None	-299.5732441	0	379.9331104	0	0	0	13.10194588	0	395.9835816	None	None	None	None
MegaMan2U.HA_0	Capcom	Capcom	6/11/89	1	20	-284.4860189	0	448.1715682	-84.15572789	1.402595465	859.7014925	-14.9773222	209.7910254	57.1061083	15.51398108	0	448.1715682	None	None	None	None
MegaMan3U!.HA_0	Capcom	Capcom	11/1/90	1	20	-283.2228298	0	437.7990431	0	0	0	-1.11E-12	1.82E-11	2.09E-12	38.9553295	0	407.3418841	None	None	None	None
MegaMan4U.HA_0	Capcom	Capcom	1/15/92	1	20	-293.3124442	0	451.9482375	0	0	0	-27.3328186	413.8935705	68.19270407	22.3933445	0	450.7317356	None	None	None	None
MegaMan5U.HA_0	Capcom	Capcom	12/31/92	1	20	-291.7213266	0	448.0226805	0	0	0	-28.02965591	557.2426878	56.59090432	23.54954891	5133.886292	446.8370488	None	None	None	None
MegaMan6U.HA_0	Nintendo	Capcom	3/15/94	1	40	-290.2258165	0	450.7497288	0	0	0	0	0	0	90.9633787	1.516056312	431.6420305	None	None	None	None
MegaManUSA.HA_0	Capcom	Capcom	12/17/87	1	12	None	None	441.2491098	None	None	411.2081498	None	None	-59.65860604	None	None	450.1695843	-0.466993977	-283.5657217	-117.5826536	13.00837603
MetroidU.HA_0	Nintendo	Nintendo	8/1/87	1	60	-232.7804245	0	169.9876709	-248.9398782	16.59599188	455.7344064	0	0	0	56.47307944	2358.701419	81.89463144	None	None	None	None
MightyBombJackU.HA_0	Tecmo	Tecmo	7/1/87	1	1	None	None	None	-249.034965	0	335.6643357	0	0	0	6.129958676	0.102165978	103.4786126	None	None	None	None
NinjaGaidenEpisodeII-TheDarkSwordofChaosUSA.HA_0	Tecmo	Tecmo	5/1/90	1	1	None	None	None	-245.0968598	0	354.5333923	0	0	0	-13.5042349	0	391.9141728	None	None	None	None
NinjaGaidenEpisodeIII-TheAncientShipofDoomUSA.HA_0	Tecmo	Tecmo	8/1/91	1	1	None	None	None	-145.2151414	0	80.61416844	0	0	0	-18.5780232	0	218.8860639	None	None	None	None
NinjaGaidenUSA.HA_0	Tecmo	Tecmo	3/1/89	1	1	None	None	None	-265.3719278	0	316.8950043	0	0	0	-46.49407115	0	485.9288538	None	None	None	None
SuperCUSA.HA_0	Konami	Konami	4/1/90	1	1	None	None	None	-244.0090944	0	275.862069	0	0	0	-29.17086445	0	302.4431908	None	None	None	None
SuperMarioBros-DuckHuntU.HA_0	Nintendo	Nintendo	10/31/85	1	40	-251.0968044	0	256.3151519	63.1986779	4186.914717	737.4843108	0	0	0	89.64014683	2134.368885	365.4142916	None	None	None	None
SuperMarioBros2UPRG0.HA_0	Nintendo	Nintendo	10/9/88	1	40	-281.3481279	0	438.4962417	-244.6399839	16.30933226	736.3636364	0	0	0	61.75008479	0	545.8755937	None	None	None	None
SuperMarioBros2UPRG0.HA_1	Nintendo	Nintendo	10/9/88	1	40	-281.3481279	0	438.4962417	-244.6399839	16.30933226	736.3636364	0	0	0	61.75008479	0	545.8755937	None	None	None	None
SuperMarioBros3UPRG0.HA_0	Nintendo	Nintendo	2/12/90	1	40	-262.4256658	0	254.764888	-121.2716285	6.063581427	197.7020607	0	0	0	69.72902505	2134.300466	326.6966479	None	None	None	None
SuperMarioBrosJUPRG0.HA_0	Nintendo	Nintendo	10/31/85	1	40	-251.0968044	0	256.3151519	63.1986779	4186.914717	737.4843108	0	0	0	89.64014683	2134.368885	365.4142916	None	None	None	None
TakahashiMeijinnoBoukenJimaIVJapanEnbyDemiforcev1.0AdventureIslandIV.HA_0	Hudson Soft	Hudson Soft	6/24/94	1	20	-268.2893726	0	341.285648	0	0	0	-3.434520263	108.7060309	24.86379536	27.93759963	0	363.3717793	None	None	None	None
TakahashiMeijinnoBoukenJimaIVJapanEnbyDemiforcev1.0AdventureIslandIV.HA_1	Hudson Soft	Hudson Soft	6/24/94	1	20	-268.2893726	0	341.285648	0	0	0	-3.434520263	108.7060309	24.86379536	27.93759963	0	363.3717793	None	None	None	None
TeenageMutantNinjaTurtlesII-TheArcadeGameUSA.HA_0	Ultra Games	Konami	12/1/90	1	1	None	None	None	-371.1835291	0	415.1572565	0	0	0	-6.967635998	0	447.5766725	None	None	None	None
TeenageMutantNinjaTurtlesUSA.HA_0	Konami	Konami	6/1/89	1	1	None	None	None	-175.1892616	0	71.66833431	6.39E-14	-2.73E-12	-8.53E-14	-20.45928525	0	148.5344907	None	None	None	None
Zelda2-TheAdventureofLinkU.HA_0	Nintendo	Nintendo	12/1/88	80	100	1.939506187	0	-1.124224174	0	0	0	0	0	0	0	0	0	None	None	None	None
Zelda2-TheAdventureofLinkU.HA_1	Nintendo	Nintendo	12/1/88	80	100	1.939506187	0	-1.124224174	0	0	0	0	0	0	0	0	0	None	None	None	None
Zelda2-TheAdventureofLinkU.HA_2	Nintendo	Nintendo	12/1/88	1	20	-224.8698733	0	435.8529621	-218.7532815	29.1671042	738.1231672	0	0	0	56.22546502	-1174.764373	485.0411984	None	None	None	None
